artist;id;name;degree
Akbar V (12400944);12400944;Akbar V;3
Katie Got Bandz (3931171);3931171;Katie Got Bandz;3
BIA (67613892);67613892;BIA;3
JT (326759);326759;JT;3
 (83483);83483;;3
 (14572331);14572331;;3
 (5468438);5468438;;3
 (1623297);1623297;;3
 (487999);487999;;3
Lady Leshurr (869538);869538;Lady Leshurr;3
Patrice Roberts (158803);158803;Patrice Roberts;3
Destra Garcia (250718);250718;Destra Garcia;3
Skeng (874562);874562;Skeng;3
Jessie J (985109);985109;Jessie J;3
Leisa Hart (9897428);9897428;Leisa Hart;3
Enzo Ingrosso (6128810);6128810;Enzo Ingrosso;3
JJ Maley (144181152);144181152;JJ Maley;3
Lisa Romano (7525104);7525104;Lisa Romano;3
Olivia Moffa (102735502);102735502;Olivia Moffa;3
Ariana Valdes (102735492);102735492;Ariana Valdes;3
Josh Mele (102735482);102735482;Josh Mele;3
Sophie Sagan-Gutherz (102735472);102735472;Sophie Sagan-Gutherz;3
Nina Andjelic (102735452);102735452;Nina Andjelic;3
Derek Emerson Powell (102735442);102735442;Derek Emerson Powell;3
Lilli Komurek (102735432);102735432;Lilli Komurek;3
Melissa Winter (5038156);5038156;Melissa Winter;3
Kilian Crowley (102735422);102735422;Kilian Crowley;3
Ty-Gabriel (103830662);103830662;Ty-Gabriel;3
Stadiumx (5569389);5569389;Stadiumx;3
Nick Martin (399257);399257;Nick Martin;3
Slash (5645701);5645701;Slash;3
Cory Gunz (92255);92255;Cory Gunz;3
J-Status (14034);14034;J-Status;3
Britney Spears (483);483;Britney Spears;3
N.E.R.D (240);240;N.E.R.D;3
SZA (5531258);5531258;SZA;3
Coldplay (892);892;Coldplay;3
Paul McCartney (1446);1446;Paul McCartney;3
 (393373);393373;;3
 (153059292);153059292;;3
 (94463712);94463712;;3
 (80912);80912;;3
 (153059272);153059272;;3
 (1430521);1430521;;3
 (368);368;;3
 (12400414);12400414;;3
 (12466954);12466954;;3
Louise Bush (11389678);11389678;Louise Bush;3
Auli'i Cravalho (11389676);11389676;Auli'i Cravalho;3
Rachel House (11389674);11389674;Rachel House;3
Christopher Jackson (1154800);1154800;Christopher Jackson;3
Paije (10491593);10491593;Paije;3
Hayden James (4552034);4552034;Hayden James;3
Chiptune (14933901);14933901;Chiptune;3
AVIAN GRAYS (68021352);68021352;AVIAN GRAYS;3
Darren Styles (13213);13213;Darren Styles;3
Shyne (8630);8630;Shyne;3
Monica (2270);2270;Monica;3
Plies (15370);15370;Plies;3
