artist;id;name;nb_fans;nb_album
Mr. Vegas (8737);8737;Mr. Vegas;207253;129
Conor Darvid (8445032);8445032;Conor Darvid;19;9
Mr Vegas (367288);367288;Mr Vegas;4597;31
morten (14577129);14577129;morten;863;102
 (10925540);10925540;;0;0
 (5227137);5227137;;0;0
 (14180929);14180929;;0;0
 (8811616);8811616;;0;0
 (10083752);10083752;;0;0
 (4063371);4063371;;0;0
 (11811989);11811989;;0;0
 (1997681);1997681;;0;0
 (11811987);11811987;;0;0
Samy Deluxe (12036);12036;Samy Deluxe;134648;35
Marvin Game (5420197);5420197;Marvin Game;5415;48
Oda (1247136);1247136;Oda;349;42
Raye (11197900);11197900;Raye;4074;15
Frida Sundemo (300490);300490;Frida Sundemo;3470;24
Judah Smith (63914002);63914002;Judah Smith;11;0
Chandler Moore (6830713);6830713;Chandler Moore;7612;9
Tori Kelly (1416675);1416675;Tori Kelly;169931;29
Jessica Jarrell (470679);470679;Jessica Jarrell;45291;16
Lil Dicky (4907422);4907422;Lil Dicky;50900;7
Alpha P (6863531);6863531;Alpha P;1029;15
Halsey (5292512);5292512;Halsey;1765129;49
Beam (472954);472954;Beam;739;40
Dominic Fike (13864157);13864157;Dominic Fike;22768;13
BEAM (107753562);107753562;BEAM;733;15
Clever (1261918);1261918;Clever;1849;40
TroyBoi (5105877);5105877;TroyBoi;34746;40
Dan + Shay (5112746);5112746;Dan + Shay;104550;36
Jaden (1018354);1018354;Jaden;144512;21
Tems (13905711);13905711;Tems;123882;11
Wizkid (3933641);3933641;Wizkid;811092;50
Shawn Mendes (5962948);5962948;Shawn Mendes;6174802;34
Omah lay (56094992);56094992;Omah lay;192941;25
Billie Eilish (9635624);9635624;Billie Eilish;6636156;26
GIVĒON (48995601);48995601;GIVĒON;183401;12
Daniel Caesar (5245183);5245183;Daniel Caesar;210880;11
The Kid Laroi (51204222);51204222;The Kid Laroi;288376;23
Steve James (376855);376855;Steve James;1576;88
Dermot Kennedy (12033224);12033224;Dermot Kennedy;99010;37
Ryan Tedder (1579045);1579045;Ryan Tedder;11573;3
Bali Bandits (6460589);6460589;Bali Bandits;2644;23
 (1420818);1420818;;0;0
 (1346116);1346116;;0;0
 (515052);515052;;0;0
 (9657022);9657022;;0;0
 (4514545);4514545;;0;0
 (116959);116959;;0;0
Navos (14402619);14402619;Navos;1245;31
Liam O'Donnell (63800);63800;Liam O'Donnell;13;2
ROZES (7898578);7898578;ROZES;2238;51
Sofia Carson (8425170);8425170;Sofia Carson;328613;40
