source;target;song;id_song;id_source;name_source;id_target;name_target
Pete Townshend (5432);London Oriana Choir (5640634);The Punk And The Godfather;100478816;5432;Pete Townshend;5640634;London Oriana Choir
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);The Punk And The Godfather;100478816;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);The Punk And The Godfather;100478816;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);The Punk And The Godfather;100478816;242283;Alfie Boe;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);The Punk And The Godfather;100478816;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);The Punk And The Godfather;100478816;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);The Punk And The Godfather;100478816;4455202;Robert Ziegler;5640634;London Oriana Choir
Alfie Boe (242283);Billy Idol (2111);Bell Boy;100478834;242283;Alfie Boe;2111;Billy Idol
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);Bell Boy;100478834;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);Bell Boy;100478834;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);Bell Boy;100478834;242283;Alfie Boe;5640634;London Oriana Choir
Billy Idol (2111);Royal Philharmonic Orchestra (94226);Bell Boy;100478834;2111;Billy Idol;94226;Royal Philharmonic Orchestra
Billy Idol (2111);Robert Ziegler (4455202);Bell Boy;100478834;2111;Billy Idol;4455202;Robert Ziegler
Billy Idol (2111);London Oriana Choir (5640634);Bell Boy;100478834;2111;Billy Idol;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);Bell Boy;100478834;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);Bell Boy;100478834;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);Bell Boy;100478834;4455202;Robert Ziegler;5640634;London Oriana Choir
London Oriana Choir (5640634);Dominic Peckham (5310735);To the Mothers in Brazil: Salve Regina;115469254;5640634;London Oriana Choir;5310735;Dominic Peckham
Alfie Boe (242283);Billy Idol (2111);I've Had Enough;100478826;242283;Alfie Boe;2111;Billy Idol
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);I've Had Enough;100478826;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);I've Had Enough;100478826;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);I've Had Enough;100478826;242283;Alfie Boe;5640634;London Oriana Choir
Billy Idol (2111);Royal Philharmonic Orchestra (94226);I've Had Enough;100478826;2111;Billy Idol;94226;Royal Philharmonic Orchestra
Billy Idol (2111);Robert Ziegler (4455202);I've Had Enough;100478826;2111;Billy Idol;4455202;Robert Ziegler
Billy Idol (2111);London Oriana Choir (5640634);I've Had Enough;100478826;2111;Billy Idol;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);I've Had Enough;100478826;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);I've Had Enough;100478826;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);I've Had Enough;100478826;4455202;Robert Ziegler;5640634;London Oriana Choir
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);Love Reign O'er Me;100478840;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);Love Reign O'er Me;100478840;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);Love Reign O'er Me;100478840;242283;Alfie Boe;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);Love Reign O'er Me;100478840;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);Love Reign O'er Me;100478840;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);Love Reign O'er Me;100478840;4455202;Robert Ziegler;5640634;London Oriana Choir
Alfie Boe (242283);Phil Daniels (793976);The Dirty Jobs;100478820;242283;Alfie Boe;793976;Phil Daniels
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);The Dirty Jobs;100478820;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);The Dirty Jobs;100478820;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);The Dirty Jobs;100478820;242283;Alfie Boe;5640634;London Oriana Choir
Phil Daniels (793976);Royal Philharmonic Orchestra (94226);The Dirty Jobs;100478820;793976;Phil Daniels;94226;Royal Philharmonic Orchestra
Phil Daniels (793976);Robert Ziegler (4455202);The Dirty Jobs;100478820;793976;Phil Daniels;4455202;Robert Ziegler
Phil Daniels (793976);London Oriana Choir (5640634);The Dirty Jobs;100478820;793976;Phil Daniels;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);The Dirty Jobs;100478820;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);The Dirty Jobs;100478820;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);The Dirty Jobs;100478820;4455202;Robert Ziegler;5640634;London Oriana Choir
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);Doctor Jimmy;100478836;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);Doctor Jimmy;100478836;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);Doctor Jimmy;100478836;242283;Alfie Boe;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);Doctor Jimmy;100478836;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);Doctor Jimmy;100478836;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);Doctor Jimmy;100478836;4455202;Robert Ziegler;5640634;London Oriana Choir
Max Richter (6690);Mari Samuelsen (7602938);Richter: All Human Beings - Pt. 3;997862342;6690;Max Richter;7602938;Mari Samuelsen
Max Richter (6690);Robert Ziegler (4455202);Richter: All Human Beings - Pt. 3;997862342;6690;Max Richter;4455202;Robert Ziegler
Mari Samuelsen (7602938);Robert Ziegler (4455202);Richter: All Human Beings - Pt. 3;997862342;7602938;Mari Samuelsen;4455202;Robert Ziegler
Lang Lang (152366);Royal Philharmonic Orchestra (94226);La Belle et la Bête;1906330147;152366;Lang Lang;94226;Royal Philharmonic Orchestra
Lang Lang (152366);Robert Ziegler (4455202);La Belle et la Bête;1906330147;152366;Lang Lang;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);La Belle et la Bête;1906330147;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
